500000	25419620	0
500000	44294472	0
2000000	6027557	0
2000000	10610857	0
2000000	17071706	0
2000000	14591665	0
2000000	108824340	0
2000000	111027784	0
0	376011	0
2000000	96789063	0
2000000	220632185	0
818030	1705185	0
818030	103977608	0
818030	570762	0
818030	296119916	0
818030	50315153	0
818030	2032719	0
818030	21020267	0
818030	43683344	0
818030	98219428	0
818030	67837582	0
818030	2577556	0
818030	1619740	0
818030	10524228	0
818030	18061789	0
818030	10209103	0
818030	4734787	0
818030	2372125	0
818030	2606866	0
818030	3704341	0
818030	2161588	0
818030	2117050	0
818030	8920876	0
818030	4453160	0
818030	2691147	0
818030	9373997	0
818030	3094192	0
818030	1148601	0
818030	2844534	0
818030	2557927	0
818030	1138472	0
818030	21487037	0
818030	55817706	0
818030	4266382	0
818030	1547996	0
818030	9210108	0
818030	6090042	0
818030	3220513	0
818030	10646304	0
0	68143612	0
2000000	4664968	0
2000000	3221872	0
2000000	88750243	0
2000000	582620076	0
2000000	375612022	0
0	30235340	0
2000000	77811809	0
2000000	14305878	0
2000000	16909626	0
2000000	17313105	0
2000000	1383367	0
2000000	1813732	0
2000000	4868563	0
0	3640946	0
2000000	1772207	0
2000000	41825600	0
2000000	94787643	0
2000000	14563132	0
2000000	7297617	0
2000000	3071657	0
2000000	10477010	0
2000000	5876867	0
2000000	32352902	0
2000000	7867337	0
500000	798654	0
500000	774376	0
2000000	4924813	0
2000000	378755142	0
2000000	15849546	0
2000000	20146604	0
2000000	4559931	0
2000000	4623337	0
2000000	6585278	0
2000000	34454640	0
500000	25549296	0
2000000	6154214	0
2000000	4053567	0
2000000	66499221	0
2000000	240325817	0
2000000	108546345	0
2000000	3616999	0
672510	5957295	0
672510	258719652	0
672510	45571259	0
672510	195189393	0
672510	50799888	0
672510	68101666	0
500000	56834665	0
500000	135382218	0
500000	109159339	0
500000	6979499	0
500000	126999150	0
500000	32704834	0
500000	9883380	0
500000	19719658	0
601146	197266225	0
601146	61321026	0
601146	18974574	0
500000	59624864	0
500000	346443519	0
2000000	75153402	0
