Id;IdEmpleado;TipoVerif;TipoIngreso;DiaIngreso;HoraIngreso
;744;1;0;2016-09-01;05:28:12
;204;1;0;2016-09-01;05:29:56
;716;1;0;2016-09-01;05:30:07
;40;1;0;2016-09-01;05:31:24
;88;1;0;2016-09-01;05:33:10
;889;1;0;2016-09-01;05:34:48
;466;1;0;2016-09-01;05:35:08
;499;1;0;2016-09-01;05:36:11
;746;1;0;2016-09-01;05:37:03
;988;1;0;2016-09-01;05:37:53
;707;1;0;2016-09-01;05:38:10
;3707;1;0;2016-09-01;05:38:22
;957;1;0;2016-09-01;05:38:34
;986;1;0;2016-09-01;05:38:43
;797;1;0;2016-09-01;05:39:25
;698;1;0;2016-09-01;05:39:38
;752;1;0;2016-09-01;05:40:14
;391;1;0;2016-09-01;05:40:37
;815;1;0;2016-09-01;05:41:25
;3714;1;0;2016-09-01;05:41:36
;987;1;0;2016-09-01;05:42:19
;879;1;0;2016-09-01;05:42:31
;3703;1;0;2016-09-01;05:43:56
;846;1;0;2016-09-01;05:44:13
;249;1;0;2016-09-01;05:44:23
;3718;1;0;2016-09-01;05:45:10
;835;1;0;2016-09-01;05:45:19
;99;1;0;2016-09-01;05:45:30
;894;1;0;2016-09-01;05:45:39
;933;1;0;2016-09-01;05:45:49
;932;1;0;2016-09-01;05:46:04
;3711;1;0;2016-09-01;05:47:50
;3710;1;0;2016-09-01;05:47:58
;731;1;0;2016-09-01;05:48:07
;3701;1;0;2016-09-01;05:48:26
;3713;1;0;2016-09-01;05:48:36
;498;1;0;2016-09-01;05:49:43
;935;1;0;2016-09-01;05:50:50
;918;1;0;2016-09-01;05:50:59
;737;1;0;2016-09-01;05:51:25
;970;1;0;2016-09-01;05:51:47
;693;1;0;2016-09-01;05:51:55
;829;1;0;2016-09-01;05:52:04
;3706;1;0;2016-09-01;05:53:05
;961;1;0;2016-09-01;05:53:59
;902;1;0;2016-09-01;05:54:41
;258;1;0;2016-09-01;05:55:01
;927;1;0;2016-09-01;05:55:18
;267;1;0;2016-09-01;05:55:27
;1397;1;0;2016-09-01;05:55:39
;387;1;0;2016-09-01;05:55:59
;432;1;0;2016-09-01;05:56:07
;729;1;0;2016-09-01;05:56:15
;3715;1;0;2016-09-01;05:56:26
;58;1;0;2016-09-01;05:56:35
;395;1;0;2016-09-01;05:56:45
;596;1;0;2016-09-01;05:56:53
;3704;1;0;2016-09-01;05:57:02
;901;1;0;2016-09-01;05:57:10
;946;1;0;2016-09-01;05:57:23
;711;1;0;2016-09-01;05:57:30
;501;1;0;2016-09-01;05:57:39
;3716;1;0;2016-09-01;05:57:47
;1379;1;0;2016-09-01;05:57:55
;827;1;0;2016-09-01;05:58:03
;851;1;0;2016-09-01;05:58:11
;928;1;0;2016-09-01;05:58:20
;616;1;0;2016-09-01;05:58:29
;355;1;0;2016-09-01;06:00:00
;377;1;0;2016-09-01;06:00:00
;379;1;0;2016-09-01;06:00:00
;400;1;0;2016-09-01;06:00:00
;428;1;0;2016-09-01;06:00:00
;451;1;0;2016-09-01;06:00:00
;455;1;0;2016-09-01;06:00:00
;656;2;0;2016-09-01;06:00:00
;658;1;0;2016-09-01;06:00:00
;676;1;1;2016-09-01;06:00:00
;679;2;0;2016-09-01;06:00:00
;680;1;0;2016-09-01;06:00:00
;681;2;0;2016-09-01;06:00:00
;703;1;0;2016-09-01;06:00:00
;704;1;0;2016-09-01;06:00:00
;710;1;0;2016-09-01;06:00:00
;717;1;0;2016-09-01;06:00:00
;719;1;0;2016-09-01;06:00:00
;727;1;0;2016-09-01;06:00:00
;747;1;0;2016-09-01;06:00:00
;754;1;0;2016-09-01;06:00:00
;756;1;0;2016-09-01;06:00:00
;765;1;0;2016-09-01;06:00:00
;781;1;0;2016-09-01;06:00:00
;794;1;0;2016-09-01;06:00:00
;802;1;0;2016-09-01;06:00:00
;803;1;0;2016-09-01;06:00:00
;809;1;0;2016-09-01;06:00:00
;814;1;0;2016-09-01;06:00:00
;820;1;0;2016-09-01;06:00:00
;821;1;0;2016-09-01;06:00:00
;822;1;0;2016-09-01;06:00:00
;825;1;0;2016-09-01;06:00:00
;832;1;0;2016-09-01;06:00:00
;834;1;0;2016-09-01;06:00:00
;836;1;0;2016-09-01;06:00:00
;852;1;0;2016-09-01;06:00:00
;861;1;0;2016-09-01;06:00:00
;863;1;0;2016-09-01;06:00:00
;878;1;0;2016-09-01;06:00:00
;882;1;0;2016-09-01;06:00:00
;891;1;0;2016-09-01;06:00:00
;892;1;0;2016-09-01;06:00:00
;893;1;0;2016-09-01;06:00:00
;900;1;0;2016-09-01;06:00:00
;908;1;0;2016-09-01;06:00:00
;915;1;0;2016-09-01;06:00:00
